Education_Level;Customer_Age;Dependent_count;Card_Category;Income_Category;Months_on_book;Total_Relationship_Count;Months_Inactive_12_mon;Contacts_Count_12_mon;Credit_Limit;Total_Revolving_Bal;Avg_Open_To_Buy;Total_Amt_Chng_Q4_Q1;Total_Trans_Amt;Total_Trans_Ct;Total_Ct_Chng_Q4_Q1;Avg_Utilization_Ratio;Naive_Bayes_Classifier;Naive_Bayes_Classifier_2;Churn
Graduate;49;5;Blue;Less than $40K;44;6;1;2;8256;864;7392;1.541;1291;33;3.714;0.105;5.6861e-05;0.99994;ËÎÆÜ
Graduate;51;3;Blue;$80K - $120K;36;4;1;0;3418;0;3418;2.594;1887;20;2.333;0;2.1081e-05;0.99998;ËÎÆÜ
High School;40;4;Blue;Less than $40K;34;3;4;1;3313;2517;796;1.405;1171;20;2.333;0.76;0.00013366;0.99987;ËÎÆÜ
Uneducated;40;3;Blue;$60K - $80K;21;5;1;0;4716;0;4716;2.175;816;28;1.052;0;2.1676e-05;0.99998;ËÎÆÜ
Graduate;44;2;Blue;$40K - $60K;36;3;1;2;4010;1247;2763;1.376;1088;24;0.846;0.311;5.5077e-05;0.99994;ËÎÆÜ
Unknown;51;4;Gold;$120K +;46;6;1;3;34516;2264;32252;1.975;1330;31;0.722;0.066;0.00012303;0.99988;ËÎÆÜ
High School;32;0;Silver;$60K - $80K;27;2;2;2;29081;1396;27685;2.204;1538;36;0.714;0.048;8.5795e-05;0.99991;ËÎÆÜ
Uneducated;37;3;Blue;$60K - $80K;36;5;2;0;22352;2517;19835;3.355;1350;24;1.182;0.113;4.4796e-05;0.99996;ËÎÆÜ
Graduate;48;2;Blue;$80K - $120K;36;6;3;3;11656;1677;9979;1.524;1441;32;0.882;0.144;0.00030251;0.9997;ËÎÆÜ
Uneducated;42;5;Blue;$120K +;31;5;3;2;6748;1467;5281;0.831;1201;42;0.68;0.217;0.00019094;0.99981;ËÎÆÜ
Unknown;65;1;Blue;$40K - $60K;54;6;2;3;9095;1587;7508;1.433;1314;26;1.364;0.174;0.00019751;0.9998;ËÎÆÜ
College;56;1;Blue;$80K - $120K;36;3;6;0;11751;0;11751;3.397;1539;17;1.052;0;4.7799e-05;0.99995;ËÎÆÜ
Graduate;35;3;Blue;$60K - $80K;30;5;1;3;8547;1666;6881;1.163;1311;33;2;0.195;9.6126e-05;0.9999;ËÎÆÜ
Graduate;57;2;Blue;Less than $40K;48;5;2;2;2436;680;1756;1.052;1570;29;0.611;0.279;0.00011382;0.99989;ËÎÆÜ
Unknown;44;4;Blue;$80K - $120K;37;5;1;2;4234;972;3262;1.707;1348;27;1.052;0.23;6.3492e-05;0.99994;ËÎÆÜ
Post-Graduate;48;4;Blue;$80K - $120K;36;6;2;3;30367;2362;28005;1.708;1671;27;0.929;0.078;0.00023623;0.99976;ËÎÆÜ
Unknown;41;3;Blue;$80K - $120K;34;4;4;1;13535;1291;12244;0.653;1028;21;1.625;0.095;0.00014953;0.99985;ËÎÆÜ
High School;61;1;Blue;$40K - $60K;56;2;2;3;3193;2517;676;1.831;1336;30;1.143;0.788;0.00017468;0.99983;ËÎÆÜ
Graduate;45;2;Blue;Unknown;37;6;1;2;14470;1157;13313;0.966;1207;21;0.909;0.08;5.5077e-05;0.99994;ËÎÆÜ
Doctorate;47;1;Blue;$60K - $80K;42;5;2;0;20979;1800;19179;0.906;1178;27;0.929;0.086;5.703e-05;0.99994;ËÎÆÜ
